concept_id,concept_name,concept_code,vocabulary_id,Feature
35208145,"Periodontal disease, unspecified",K05.6,ICD10CM,DentalGumProblems
1569533,Other disorders of gingiva and edentulous alveolar ridge,K06,ICD10CM,DentalGumProblems
45586696,Other disorders of gingiva and edentulous alveolar ridge,K06,ICD10,DentalGumProblems
45576973,Gingival recession,K06.0,ICD10,DentalGumProblems
35208146,Gingival recession,K06.0,ICD10CM,DentalGumProblems
1326610,"Gingival recession, localized",K06.01,ICD10CM,DentalGumProblems
1326611,"Localized gingival recession, unspecified",K06.010,ICD10CM,DentalGumProblems
1326612,"Localized gingival recession, minimal",K06.011,ICD10CM,DentalGumProblems
1326613,"Localized gingival recession, moderate",K06.012,ICD10CM,DentalGumProblems
1326614,"Localized gingival recession, severe",K06.013,ICD10CM,DentalGumProblems
1326615,"Gingival recession, generalized",K06.02,ICD10CM,DentalGumProblems
1326616,"Generalized gingival recession, unspecified",K06.020,ICD10CM,DentalGumProblems
1326617,"Generalized gingival recession, minimal",K06.021,ICD10CM,DentalGumProblems
1326618,"Generalized gingival recession, moderate",K06.022,ICD10CM,DentalGumProblems
1326619,"Generalized gingival recession, severe",K06.023,ICD10CM,DentalGumProblems
45601141,Gingival enlargement,K06.1,ICD10,DentalGumProblems
35208147,Gingival enlargement,K06.1,ICD10CM,DentalGumProblems
35208148,Gingival and edentulous alveolar ridge lesions associated with trauma,K06.2,ICD10CM,DentalGumProblems
45562478,Gingival and edentulous alveolar ridge lesions associated with trauma,K06.2,ICD10,DentalGumProblems
37200604,Horizontal alveolar bone loss,K06.3,ICD10CM,DentalGumProblems
35208149,Other specified disorders of gingiva and edentulous alveolar ridge,K06.8,ICD10CM,DentalGumProblems
45601142,Other specified disorders of gingiva and edentulous alveolar ridge,K06.8,ICD10,DentalGumProblems
35208150,"Disorder of gingiva and edentulous alveolar ridge, unspecified",K06.9,ICD10CM,DentalGumProblems
45548137,"Disorder of gingiva and edentulous alveolar ridge, unspecified",K06.9,ICD10,DentalGumProblems
1569553,Stomatitis and related lesions,K12,ICD10CM,DentalGumProblems
45755441,Stomatitis and related lesions,K12,ICD10,DentalGumProblems
35208168,Recurrent oral aphthae,K12.0,ICD10CM,DentalGumProblems
45576979,Recurrent oral aphthae,K12.0,ICD10,DentalGumProblems
35208169,Other forms of stomatitis,K12.1,ICD10CM,DentalGumProblems
45548143,Other forms of stomatitis,K12.1,ICD10,DentalGumProblems
45552913,Cellulitis and abscess of mouth,K12.2,ICD10,DentalGumProblems
35208170,Cellulitis and abscess of mouth,K12.2,ICD10CM,DentalGumProblems
35208171,Oral mucositis (ulcerative),K12.3,ICD10CM,DentalGumProblems
45572196,Oral mucositis (ulcerative),K12.3,ICD10,DentalGumProblems
45548144,"Oral mucositis (ulcerative), unspecified",K12.30,ICD10CM,DentalGumProblems
45591578,Oral mucositis (ulcerative) due to antineoplastic therapy,K12.31,ICD10CM,DentalGumProblems
45548145,Oral mucositis (ulcerative) due to other drugs,K12.32,ICD10CM,DentalGumProblems
45548146,Oral mucositis (ulcerative) due to radiation,K12.33,ICD10CM,DentalGumProblems
45601151,Other oral mucositis (ulcerative),K12.39,ICD10CM,DentalGumProblems
35208172,Mucositis (ulcerative) due to to other drugs,K12.4,ICD10CM,DentalGumProblems
45596306,Glossodynia,K14.6,ICD10,DentalGumProblems
35208185,Glossodynia,K14.6,ICD10CM,DentalGumProblems
45586953,Arthralgia of temporomandibular joint,M26.62,ICD10CM,DentalGumProblems
37200712,Arthralgia of right temporomandibular joint,M26.621,ICD10CM,DentalGumProblems
37200713,Arthralgia of left temporomandibular joint,M26.622,ICD10CM,DentalGumProblems
37200714,Arthralgia of bilateral temporomandibular joint,M26.623,ICD10CM,DentalGumProblems
37200715,"Arthralgia of temporomandibular joint, unspecified side",M26.629,ICD10CM,DentalGumProblems
45558479,"Dry mouth, unspecified",R68.2,ICD10,DentalGumProblems
35211415,"Dry mouth, unspecified",R68.2,ICD10CM,DentalGumProblems
45577808,Jaw pain,R68.84,ICD10CM,DentalGumProblems
45595904,Depressive episode,F32,ICD10,Depression
1568217,Depressive episode,F32,ICD10CM,Depression
35207150,"Major depressive disorder, single episode, mild",F32.0,ICD10CM,Depression
45562041,Mild depressive episode,F32.0,ICD10,Depression
45552478,Moderate depressive episode,F32.1,ICD10,Depression
35207151,"Major depressive disorder, single episode, moderate",F32.1,ICD10CM,Depression
45557202,Severe depressive episode without psychotic symptoms,F32.2,ICD10,Depression
35207152,"Major depressive disorder, single episode, severe without psychotic features",F32.2,ICD10CM,Depression
45600739,Severe depressive episode with psychotic symptoms,F32.3,ICD10,Depression
35207153,"Major depressive disorder, single episode, severe with psychotic features",F32.3,ICD10CM,Depression
45576541,"Major depressive disorder, single episode, in partial remission",F32.4,ICD10CM,Depression
45547704,"Major depressive disorder, single episode, in full remission",F32.5,ICD10CM,Depression
35207154,Other depressive episodes,F32.8,ICD10CM,Depression
45571759,Other depressive episodes,F32.8,ICD10,Depression
37200319,Premenstrual dysphoric disorder,F32.81,ICD10CM,Depression
37200320,Other specified depressive episodes,F32.89,ICD10CM,Depression
45571760,"Depressive episode, unspecified",F32.9,ICD10,Depression
35207155,"Major depressive disorder, single episode, unspecified",F32.9,ICD10CM,Depression
766349,"Depression, unspecified",F32.A,ICD10CM,Depression
1568218,"Major depressive disorder, recurrent",F33,ICD10CM,Depression
45576542,Recurrent depressive disorder,F33,ICD10,Depression
35207156,"Major depressive disorder, recurrent, mild",F33.0,ICD10CM,Depression
45538065,"Recurrent depressive disorder, current episode mild",F33.0,ICD10,Depression
45576543,"Recurrent depressive disorder, current episode moderate",F33.1,ICD10,Depression
35207157,"Major depressive disorder, recurrent, moderate",F33.1,ICD10CM,Depression
35207158,"Major depressive disorder, recurrent severe without psychotic features",F33.2,ICD10CM,Depression
45547705,"Recurrent depressive disorder, current episode severe without psychotic symptoms",F33.2,ICD10,Depression
35207159,"Major depressive disorder, recurrent, severe with psychotic symptoms",F33.3,ICD10CM,Depression
45562042,"Recurrent depressive disorder, current episode severe with psychotic symptoms",F33.3,ICD10,Depression
45533100,"Recurrent depressive disorder, currently in remission",F33.4,ICD10,Depression
1568219,"Major depressive disorder, recurrent, in remission",F33.4,ICD10CM,Depression
45547706,"Major depressive disorder, recurrent, in remission, unspecified",F33.40,ICD10CM,Depression
45552479,"Major depressive disorder, recurrent, in partial remission",F33.41,ICD10CM,Depression
45571761,"Major depressive disorder, recurrent, in full remission",F33.42,ICD10CM,Depression
45600740,Other recurrent depressive disorders,F33.8,ICD10,Depression
35207160,Other recurrent depressive disorders,F33.8,ICD10CM,Depression
45581458,"Recurrent depressive disorder, unspecified",F33.9,ICD10,Depression
35207161,"Major depressive disorder, recurrent, unspecified",F33.9,ICD10CM,Depression
35207163,Dysthymic disorder,F34.1,ICD10CM,Depression
45586238,Dysthymia,F34.1,ICD10,Depression
45566845,Mixed anxiety and depressive disorder,F41.2,ICD10,Depression
1595539,Postpartum depression,F53.0,ICD10CM,Depression
45581477,Depressive conduct disorder,F92.0,ICD10,Depression
45606813,Unhappiness,R45.2,ICD10,Depression
35211362,Unhappiness,R45.2,ICD10CM,Depression
45582713,Suicidal ideations,R45.851,ICD10CM,Depression
45541247,Suicide attempt,T14.91,ICD10CM,Depression
1326800,"Suicide attempt, initial encounter",T14.91XA,ICD10CM,Depression
1326801,"Suicide attempt, subsequent encounter",T14.91XD,ICD10CM,Depression
45571181,"Intentional self-harm by hanging, strangulation and suffocation",X70,ICD10,Depression
35223832,deactivated. See T71,X70,ICD10CM,Depression
45566260,Intentional self-harm by drowning and submersion,X71,ICD10,Depression
1575705,Intentional self-harm by drowning and submersion,X71,ICD10CM,Depression
45566261,Intentional self-harm by drowning and submersion while in bathtub,X71.0,ICD10CM,Depression
45551944,"Intentional self-harm by drowning and submersion while in bathtub, initial encounter",X71.0XXA,ICD10CM,Depression
45537469,"Intentional self-harm by drowning and submersion while in bathtub, subsequent encounter",X71.0XXD,ICD10CM,Depression
45590546,"Intentional self-harm by drowning and submersion while in bathtub, sequela",X71.0XXS,ICD10CM,Depression
45604953,Intentional self-harm by drowning and submersion while in swimming pool,X71.1,ICD10CM,Depression
45537470,"Intentional self-harm by drowning and submersion while in swimming pool, initial encounter",X71.1XXA,ICD10CM,Depression
45542262,"Intentional self-harm by drowning and submersion while in swimming pool, subsequent encounter",X71.1XXD,ICD10CM,Depression
45580865,"Intentional self-harm by drowning and submersion while in swimming pool, sequela",X71.1XXS,ICD10CM,Depression
45595331,Intentional self-harm by drowning and submersion after jump into swimming pool,X71.2,ICD10CM,Depression
45561466,"Intentional self-harm by drowning and submersion after jump into swimming pool, initial encounter",X71.2XXA,ICD10CM,Depression
45566262,"Intentional self-harm by drowning and submersion after jump into swimming pool, subsequent encounter",X71.2XXD,ICD10CM,Depression
45542263,"Intentional self-harm by drowning and submersion after jump into swimming pool, sequela",X71.2XXS,ICD10CM,Depression
45604954,Intentional self-harm by drowning and submersion in natural water,X71.3,ICD10CM,Depression
45600200,"Intentional self-harm by drowning and submersion in natural water, initial encounter",X71.3XXA,ICD10CM,Depression
45566263,"Intentional self-harm by drowning and submersion in natural water, subsequent encounter",X71.3XXD,ICD10CM,Depression
45571182,"Intentional self-harm by drowning and submersion in natural water, sequela",X71.3XXS,ICD10CM,Depression
45580866,Other intentional self-harm by drowning and submersion,X71.8,ICD10CM,Depression
45609786,"Other intentional self-harm by drowning and submersion, initial encounter",X71.8XXA,ICD10CM,Depression
45600201,"Other intentional self-harm by drowning and submersion, subsequent encounter",X71.8XXD,ICD10CM,Depression
45595332,"Other intentional self-harm by drowning and submersion, sequela",X71.8XXS,ICD10CM,Depression
45551945,"Intentional self-harm by drowning and submersion, unspecified",X71.9,ICD10CM,Depression
45561467,"Intentional self-harm by drowning and submersion, unspecified, initial encounter",X71.9XXA,ICD10CM,Depression
45575994,"Intentional self-harm by drowning and submersion, unspecified, subsequent encounter",X71.9XXD,ICD10CM,Depression
45585662,"Intentional self-harm by drowning and submersion, unspecified, sequela",X71.9XXS,ICD10CM,Depression
45756447,Intentional self-harm by handgun discharge,X72,ICD10,Depression
21300,Intentional self-harm by handgun discharge,X72,ICD10CM,Depression
45585663,"Intentional self-harm by handgun discharge, initial encounter",X72.XXXA,ICD10CM,Depression
45566264,"Intentional self-harm by handgun discharge, subsequent encounter",X72.XXXD,ICD10CM,Depression
45609787,"Intentional self-harm by handgun discharge, sequela",X72.XXXS,ICD10CM,Depression
1575706,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,ICD10CM,Depression
45756448,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,ICD10,Depression
45556675,Intentional self-harm by shotgun discharge,X73.0,ICD10CM,Depression
45547148,"Intentional self-harm by shotgun discharge, initial encounter",X73.0XXA,ICD10CM,Depression
45580867,"Intentional self-harm by shotgun discharge, subsequent encounter",X73.0XXD,ICD10CM,Depression
45580868,"Intentional self-harm by shotgun discharge, sequela",X73.0XXS,ICD10CM,Depression
21301,Intentional self-harm by hunting rifle discharge,X73.1,ICD10CM,Depression
45566265,"Intentional self-harm by hunting rifle discharge, initial encounter",X73.1XXA,ICD10CM,Depression
45604955,"Intentional self-harm by hunting rifle discharge, subsequent encounter",X73.1XXD,ICD10CM,Depression
45566266,"Intentional self-harm by hunting rifle discharge, sequela",X73.1XXS,ICD10CM,Depression
45547149,Intentional self-harm by machine gun discharge,X73.2,ICD10CM,Depression
45585664,"Intentional self-harm by machine gun discharge, initial encounter",X73.2XXA,ICD10CM,Depression
45547150,"Intentional self-harm by machine gun discharge, subsequent encounter",X73.2XXD,ICD10CM,Depression
45551946,"Intentional self-harm by machine gun discharge, sequela",X73.2XXS,ICD10CM,Depression
45537471,Intentional self-harm by other larger firearm discharge,X73.8,ICD10CM,Depression
45575995,"Intentional self-harm by other larger firearm discharge, initial encounter",X73.8XXA,ICD10CM,Depression
45551947,"Intentional self-harm by other larger firearm discharge, subsequent encounter",X73.8XXD,ICD10CM,Depression
45537472,"Intentional self-harm by other larger firearm discharge, sequela",X73.8XXS,ICD10CM,Depression
45551948,Intentional self-harm by unspecified larger firearm discharge,X73.9,ICD10CM,Depression
45571183,"Intentional self-harm by unspecified larger firearm discharge, initial encounter",X73.9XXA,ICD10CM,Depression
45556676,"Intentional self-harm by unspecified larger firearm discharge, subsequent encounter",X73.9XXD,ICD10CM,Depression
45566267,"Intentional self-harm by unspecified larger firearm discharge, sequela",X73.9XXS,ICD10CM,Depression
1575707,Intentional self-harm by other and unspecified firearm and gun discharge,X74,ICD10CM,Depression
45551949,Intentional self-harm by other and unspecified firearm discharge,X74,ICD10,Depression
45551950,"Intentional self-harm by gas, air or spring-operated guns",X74.0,ICD10CM,Depression
21302,Intentional self-harm by airgun,X74.01,ICD10CM,Depression
45595333,"Intentional self-harm by airgun, initial encounter",X74.01XA,ICD10CM,Depression
45547151,"Intentional self-harm by airgun, subsequent encounter",X74.01XD,ICD10CM,Depression
45566268,"Intentional self-harm by airgun, sequela",X74.01XS,ICD10CM,Depression
21303,Intentional self-harm by paintball gun,X74.02,ICD10CM,Depression
45595334,"Intentional self-harm by paintball gun, initial encounter",X74.02XA,ICD10CM,Depression
45580869,"Intentional self-harm by paintball gun, subsequent encounter",X74.02XD,ICD10CM,Depression
45566269,"Intentional self-harm by paintball gun, sequela",X74.02XS,ICD10CM,Depression
21304,"Intentional self-harm by other gas, air or spring-operated gun",X74.09,ICD10CM,Depression
45585665,"Intentional self-harm by other gas, air or spring-operated gun, initial encounter",X74.09XA,ICD10CM,Depression
45551951,"Intentional self-harm by other gas, air or spring-operated gun, subsequent encounter",X74.09XD,ICD10CM,Depression
45600202,"Intentional self-harm by other gas, air or spring-operated gun, sequela",X74.09XS,ICD10CM,Depression
45537473,Intentional self-harm by other firearm discharge,X74.8,ICD10CM,Depression
45575996,"Intentional self-harm by other firearm discharge, initial encounter",X74.8XXA,ICD10CM,Depression
45547152,"Intentional self-harm by other firearm discharge, subsequent encounter",X74.8XXD,ICD10CM,Depression
45604956,"Intentional self-harm by other firearm discharge, sequela",X74.8XXS,ICD10CM,Depression
45585666,Intentional self-harm by unspecified firearm discharge,X74.9,ICD10CM,Depression
45600203,"Intentional self-harm by unspecified firearm discharge, initial encounter",X74.9XXA,ICD10CM,Depression
45590547,"Intentional self-harm by unspecified firearm discharge, subsequent encounter",X74.9XXD,ICD10CM,Depression
45551952,"Intentional self-harm by unspecified firearm discharge, sequela",X74.9XXS,ICD10CM,Depression
45561468,Intentional self-harm by explosive material,X75,ICD10,Depression
21305,Intentional self-harm by explosive material,X75,ICD10CM,Depression
45590548,"Intentional self-harm by explosive material, initial encounter",X75.XXXA,ICD10CM,Depression
45561469,"Intentional self-harm by explosive material, subsequent encounter",X75.XXXD,ICD10CM,Depression
45571184,"Intentional self-harm by explosive material, sequela",X75.XXXS,ICD10CM,Depression
21306,"Intentional self-harm by smoke, fire and flames",X76,ICD10CM,Depression
45551953,"Intentional self-harm by smoke, fire and flames",X76,ICD10,Depression
45595335,"Intentional self-harm by smoke, fire and flames, initial encounter",X76.XXXA,ICD10CM,Depression
45609788,"Intentional self-harm by smoke, fire and flames, subsequent encounter",X76.XXXD,ICD10CM,Depression
45556677,"Intentional self-harm by smoke, fire and flames, sequela",X76.XXXS,ICD10CM,Depression
45756449,"Intentional self-harm by steam, hot vapours and hot objects",X77,ICD10,Depression
1575708,"Intentional self-harm by steam, hot vapors and hot objects",X77,ICD10CM,Depression
45580870,Intentional self-harm by steam or hot vapors,X77.0,ICD10CM,Depression
45571185,"Intentional self-harm by steam or hot vapors, initial encounter",X77.0XXA,ICD10CM,Depression
45609789,"Intentional self-harm by steam or hot vapors, subsequent encounter",X77.0XXD,ICD10CM,Depression
45556678,"Intentional self-harm by steam or hot vapors, sequela",X77.0XXS,ICD10CM,Depression
45595336,Intentional self-harm by hot tap water,X77.1,ICD10CM,Depression
45561470,"Intentional self-harm by hot tap water, initial encounter",X77.1XXA,ICD10CM,Depression
45575997,"Intentional self-harm by hot tap water, subsequent encounter",X77.1XXD,ICD10CM,Depression
45595337,"Intentional self-harm by hot tap water, sequela",X77.1XXS,ICD10CM,Depression
45600204,Intentional self-harm by other hot fluids,X77.2,ICD10CM,Depression
45542264,"Intentional self-harm by other hot fluids, initial encounter",X77.2XXA,ICD10CM,Depression
45551954,"Intentional self-harm by other hot fluids, subsequent encounter",X77.2XXD,ICD10CM,Depression
45551955,"Intentional self-harm by other hot fluids, sequela",X77.2XXS,ICD10CM,Depression
45561471,Intentional self-harm by hot household appliances,X77.3,ICD10CM,Depression
45575998,"Intentional self-harm by hot household appliances, initial encounter",X77.3XXA,ICD10CM,Depression
45585667,"Intentional self-harm by hot household appliances, subsequent encounter",X77.3XXD,ICD10CM,Depression
45604957,"Intentional self-harm by hot household appliances, sequela",X77.3XXS,ICD10CM,Depression
21307,Intentional self-harm by other hot objects,X77.8,ICD10CM,Depression
45600205,"Intentional self-harm by other hot objects, initial encounter",X77.8XXA,ICD10CM,Depression
45600206,"Intentional self-harm by other hot objects, subsequent encounter",X77.8XXD,ICD10CM,Depression
45595338,"Intentional self-harm by other hot objects, sequela",X77.8XXS,ICD10CM,Depression
45537474,Intentional self-harm by unspecified hot objects,X77.9,ICD10CM,Depression
45571186,"Intentional self-harm by unspecified hot objects, initial encounter",X77.9XXA,ICD10CM,Depression
45585668,"Intentional self-harm by unspecified hot objects, subsequent encounter",X77.9XXD,ICD10CM,Depression
